pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
sun-pluto,120.0,36,0.4166666666666667,0.6588062883026913,0.997439427996777,1.0,12,0.5368639667705088,False
sun-uranus,0.0,39,0.41025641025641024,0.6486708069441882,0.9985587203715091,1.0,13,0.4955667385573928,False
mercury-neptune,60.0,37,0.40540540540540543,0.6410007129431591,0.9985149127557686,1.0,6,0.0,False
jupiter-saturn,30.0,42,0.40476190476190477,0.6399832514940429,0.9991880515907965,1.0,0,,False
sun-neptune,150.0,30,0.4,0.6324540367705836,0.9972061008859815,1.0,6,0.0,False
moon-venus,45.0,38,0.39473684210526316,0.6241322731288654,0.99915080901752,1.0,9,0.7158186223606784,False
sun-saturn,60.0,36,0.3888888888888889,0.6148858690825119,0.9991399146900507,1.0,9,0.8947732779508482,False
venus-neptune,90.0,31,0.3870967741935484,0.6120522936489519,0.9984381736385981,0.9900497512437811,10,0.8052959501557633,False
venus-neptune,45.0,31,0.3870967741935484,0.6120522936489519,0.9984381736385981,1.0,11,0.8785046728971962,False
mercury-mars,30.0,44,0.38636363636363635,0.6108931036988591,0.999733938035143,1.0,11,0.5856697819314642,False
mercury-pluto,120.0,49,0.3673469387755102,0.5808251358097196,0.9999533699239501,1.0,6,0.0,False
sun-pluto,30.0,37,0.35135135135135137,0.5555339512174046,0.9998611895418678,1.0,13,0.7433501078360892,False
mercury-jupiter,60.0,38,0.3157894736842105,0.49930581850309225,0.9999816598513395,1.0,3,0.0,False
venus-saturn,60.0,32,0.3125,0.4941047162270184,0.9999422419752307,1.0,11,0.7320872274143302,False
mercury-saturn,60.0,38,0.2894736842105263,0.4576970002945013,0.9999959501907776,1.0,6,0.2684319833852544,False
mercury-jupiter,30.0,33,0.21212121212121213,0.33539229222682465,0.9999998520791649,1.0,19,0.16953598950647647,False
